t;beat
0.560;1
1.050;2
1.540;3
2.035;4
2.530;1
3.025;2
3.520;3
4.020;4
4.520;1
5.025;2
5.530;3
6.040;4
6.550;1
7.025;2
7.500;3
7.980;4
8.460;1
8.955;2
9.450;3
9.945;4
10.440;1
10.920;2
11.400;3
11.885;4
12.370;1
12.855;2
13.340;3
13.830;4
14.320;1
14.805;2
15.290;3
15.780;4
16.270;1
16.775;2
17.280;3
17.765;4
18.250;1
18.730;2
19.210;3
19.695;4
20.180;1
20.670;2
21.160;3
21.650;4
22.140;1
22.605;2
23.070;3
23.540;4
24.010;1
24.510;2
25.010;3
25.515;4
26.020;1
26.485;2
26.950;3
27.415;4
27.880;1
28.365;2
28.850;3
29.335;4
29.820;1
30.290;2
30.760;3
31.225;4
31.690;1
32.190;2
32.690;3
33.180;4
33.670;1
34.150;2
34.630;3
35.120;4
35.610;1
36.105;2
36.600;3
37.085;4
37.570;1
38.055;2
38.540;3
39.025;4
39.510;1
39.995;2
40.480;3
40.970;4
41.460;1
41.950;2
42.440;3
42.925;4
43.410;1
43.905;2
44.400;3
44.895;4
45.390;1
45.865;2
46.340;3
46.820;4
47.300;1
47.795;2
48.290;3
48.785;4
49.280;1
49.755;2
50.230;3
50.710;4
51.190;1
51.685;2
52.180;3
52.675;4
53.170;1
53.640;2
54.110;3
54.580;4
55.050;1
55.545;2
56.040;3
56.535;4
57.030;1
57.470;2
57.910;3
58.355;4
58.800;1
59.285;2
59.770;3
60.260;4
60.750;1
61.240;2
61.730;3
62.220;4
62.710;1
63.195;2
63.680;3
64.165;4
64.650;1
65.135;2
65.620;3
66.110;4
66.600;1
67.085;2
67.570;3
68.060;4
68.550;1
69.035;2
69.520;3
70.005;4
70.490;1
70.980;2
71.470;3
71.960;4
72.450;1
72.935;2
73.420;3
73.910;4
74.400;1
74.885;2
75.370;3
75.860;4
76.350;1
76.830;2
77.310;3
77.790;4
78.270;1
78.750;2
79.230;3
79.710;4
80.190;1
80.665;2
81.140;3
81.615;4
82.090;1
82.570;2
83.050;3
83.535;4
84.020;1
84.495;2
84.970;3
85.425;4
85.880;1
86.365;2
86.850;3
87.325;4
87.800;1
88.265;2
88.730;3
89.200;4
89.670;1
90.160;2
90.650;3
91.140;4
91.630;1
92.115;2
92.600;3
93.090;4
93.580;1
94.055;2
94.530;3
95.010;4
95.490;1
95.980;2
96.470;3
96.965;4
97.460;1
97.945;2
98.430;3
98.920;4
99.410;1
99.880;2
100.350;3
100.820;4
101.290;1
101.760;2
102.230;3
102.705;4
103.180;1
103.655;2
104.130;3
104.605;4
105.080;1
105.540;2
106.000;3
106.460;4
106.920;1
107.395;2
107.870;3
108.345;4
108.820;1
109.295;2
109.770;3
110.250;4
110.730;1
111.205;2
111.680;3
112.155;4
112.630;1
113.095;2
113.560;3
114.025;4
114.490;1
114.940;2
115.390;3
115.845;4
116.300;1
116.760;2
117.220;3
117.685;4
118.150;1
118.620;2
119.090;3
119.560;4
120.030;1
120.510;2
120.990;3
121.470;4
121.950;1
122.395;2
122.840;3
123.290;4
123.740;1
124.205;2
124.670;3
125.135;4
125.600;1
126.055;2
126.510;3
126.965;4
127.420;1
127.895;2
128.370;3
128.850;4
129.330;1
129.795;2
130.260;3
130.725;4
131.190;1
131.655;2
132.120;3
132.590;4
133.060;1
133.525;2
133.990;3
134.455;4
134.920;1
135.395;2
135.870;3
136.345;4
136.820;1
137.270;2
137.720;3
138.175;4
138.630;1
139.105;2
139.580;3
140.055;4
140.530;1
140.975;2
141.420;3
141.870;4
142.320;1
142.795;2
143.270;3
143.750;4
144.230;1
144.705;2
145.180;3
145.655;4
146.130;1
146.595;2
147.060;3
147.530;4
148.000;1
148.460;2
148.920;3
149.380;4
149.840;1
150.305;2
150.770;3
151.235;4
151.700;1
152.155;2
152.610;3
153.065;4
153.520;1
153.990;2
154.460;3
154.935;4
155.410;1
155.885;2
156.360;3
156.835;4
157.310;1
157.775;2
158.240;3
158.700;4
159.160;1
159.625;2
160.090;3
160.560;4
161.030;1
161.500;2
161.970;3
162.440;4
162.910;1
163.370;2
163.830;3
164.280;4
164.730;1
165.185;2
165.640;3
166.100;4
166.560;1
167.010;2
167.460;3
167.905;4
168.350;1
168.815;2
169.280;3
169.750;4
170.220;1
170.680;2
171.140;3
171.600;4
172.060;1
172.540;2
173.020;3
173.505;4
173.990;1
174.465;2
174.940;3
175.420;4
175.900;1
176.380;2
176.860;3
177.340;4
177.820;1
178.295;2
178.770;3
179.250;4
179.730;1
180.205;2
180.680;3
181.170;4
181.660;1
182.145;2
182.630;3
183.115;4
183.600;1
184.085;2
184.570;3
185.030;4
185.490;1
185.960;2
186.430;3
186.905;4
187.380;1
187.855;2
188.330;3
188.810;4
189.290;1
189.770;2
190.250;3
190.730;4
191.210;1
191.695;2
192.180;3
192.665;4
193.150;1
193.625;2
194.100;3
194.575;4
195.050;1
195.520;2
195.990;3
196.460;4
196.930;1
197.400;2
197.870;3
198.340;4
198.810;1
199.290;2
199.770;3
200.255;4
200.740;1
201.215;2
201.690;3
202.165;4
202.640;1
203.105;2
203.570;3
204.040;4
204.510;1
204.980;2
205.450;3
205.920;4
206.390;1
206.870;2
207.350;3
207.830;4
208.310;1
208.785;2
209.260;3
209.735;4
210.210;1
210.680;2
211.150;3
211.625;4
212.100;1
212.575;2
213.050;3
213.530;4
214.010;1
214.490;2
214.970;3
215.445;4
215.920;1
216.395;2
216.870;3
217.340;4
217.810;1
218.280;2
218.750;3
219.225;4
219.700;1
220.165;2
220.630;3
221.100;4
221.570;1
222.045;2
222.520;3
222.995;4
223.470;1
223.930;2
224.390;3
224.855;4
225.320;1
225.800;2
226.280;3
226.765;4
227.250;1
227.715;2
228.180;3
228.650;4
229.120;1
229.580;2
230.040;3
230.505;4
230.970;1
231.430;2
231.890;3
232.350;4
232.810;1
233.270;2
233.730;3
234.195;4
234.660;1
235.120;2
235.580;3
236.045;4
236.510;1
236.995;2
237.480;3
237.965;4
238.450;1
238.905;2
239.360;3
239.820;4
240.280;1
240.750;2
241.220;3
241.695;4
242.170;1
242.620;2
243.070;3
243.520;4
243.970;1
244.445;2
244.920;3
245.395;4
245.870;1
246.315;2
246.760;3
247.210;4
247.660;1
248.120;2
248.580;3
249.040;4
249.500;1
249.950;2
250.400;3
250.855;4
251.310;1
251.775;2
252.240;3
252.710;4
253.180;1
253.655;2
254.130;3
254.605;4
255.080;1
255.540;2
256.000;3
256.465;4
256.930;1
257.390;2
257.850;3
258.315;4
258.780;1
259.225;2
259.670;3
260.115;4
260.560;1
261.020;2
261.480;3
261.945;4
262.410;1
262.860;2
263.310;3
263.760;4
264.210;1
264.665;2
265.120;3
265.580;4
266.040;1
266.485;2
266.930;3
267.380;4
267.830;1
268.280;2
268.730;3
269.160;4
269.590;1
270.030;2
270.470;3
270.915;4
271.360;1
271.815;2
272.270;3
272.720;4
273.170;1
273.655;2
274.140;3
274.625;4
275.110;1
275.570;2
276.030;3
276.495;4
276.960;1
277.420;2
277.880;3
278.340;4
278.800;1
279.260;2
279.720;3
280.185;4
280.650;1
281.125;2
281.600;3
282.075;4
282.550;1
283.015;2
283.480;3
283.945;4
284.410;1
284.880;2
285.350;3
285.820;4
286.290;1
286.750;2
287.210;3
287.670;4
288.130;1
288.605;2
289.080;3
289.560;4
290.040;1
290.505;2
290.970;3
291.440;4
291.910;1
292.390;2
292.870;3
293.350;4
293.830;1
294.280;2
294.730;3
295.175;4
295.620;1
296.070;2
296.520;3
296.960;4
297.400;1
297.840;2
298.280;3
298.715;4
299.150;1
299.605;2
300.060;3
300.520;4
300.980;1
301.425;2
301.870;3
302.315;4
302.760;1
303.210;2
303.660;3
304.110;4
304.560;1
304.995;2
305.430;3
305.870;4
306.310;1
306.775;2
307.240;3
307.710;4
308.180;1
308.630;2
309.080;3
309.535;4
309.990;1
310.445;2
310.900;3
311.345;4
311.790;1
312.255;2
312.720;3
313.195;4
313.670;1
314.125;2
314.580;3
315.040;4
315.500;1
315.955;2
316.410;3
316.865;4
317.320;1
317.775;2
318.230;3
318.695;4
319.160;1
319.610;2
320.060;3
320.525;4
320.990;1
321.445;2
321.900;3
322.360;4
322.820;1
323.250;2
323.680;3
324.115;4
324.550;1
324.975;2
325.400;3
325.830;4
326.260;1
326.680;2
327.100;3
327.520;4
327.940;1
328.395;2
328.850;3
329.305;4
329.760;1
330.200;2
330.640;3
331.085;4
331.530;1
331.960;2
332.390;3
332.820;4
333.250;1
333.670;2
334.090;3
334.510;4
334.930;1
335.370;2
335.810;3
336.255;4
336.700;1
337.130;2
337.560;3
337.995;4
338.430;1
338.890;2
339.350;3
339.815;4
340.280;1
340.745;2
341.210;3
341.680;4
342.150;1
342.620;2
343.090;3
343.560;4
344.030;1
344.485;2
344.940;3
345.395;4
345.850;1
346.340;2
346.830;3
347.320;4
347.810;1
348.260;2
348.710;3
349.165;4
349.620;1
350.075;2
350.530;3
350.990;4
351.450;1
351.915;2
352.380;3
352.850;4
353.320;1
353.805;2
354.290;3
354.775;4
355.260;1
355.735;2
356.210;3
356.685;4
357.160;1
357.645;2
358.130;3
358.620;4
359.110;1
359.575;2
360.040;3
360.505;4
360.970;1
361.445;2
361.920;3
362.395;4
362.870;1
363.330;2
363.790;3
364.250;4
364.710;1
365.210;2
365.710;3
366.200;4
366.690;1
367.170;2
367.650;3
368.120;4
368.590;1
369.080;2
369.570;3
370.060;4
370.550;1
371.025;2
371.500;3
371.980;4
372.460;1
372.950;2
373.440;3
373.935;4
374.430;1
374.900;2
375.370;3
375.840;4
376.310;1
376.795;2
377.280;3
377.770;4
378.260;1
378.740;2
379.220;3
379.705;4
380.190;1
380.665;2
381.140;3
381.615;4
382.090;1
382.565;2
383.040;3
383.515;4
383.990;1
384.485;2
384.980;3
385.485;4
385.990;1
386.460;2
386.930;3
387.395;4
387.860;1
388.335;2
388.810;3
389.290;4
389.770;1
390.240;2
390.710;3
391.180;4
391.650;1
392.140;2
392.630;3
393.120;4
393.610;1
394.080;2
394.550;3
395.020;4
395.490;1
395.980;2
396.470;3
396.960;4
397.450;1
397.930;2
398.410;3
398.890;4
399.370;1
399.860;2
400.350;3
400.845;4
401.340;1
401.825;2
402.310;3
402.800;4
403.290;1
403.790;2
404.290;3
404.780;4
405.270;1
405.740;2
406.210;3
406.670;4
407.130;1
407.605;2
408.080;3
408.560;4
409.040;1
409.520;2
410.000;3
410.485;4
410.970;1
411.450;2
411.930;3
412.415;4
412.900;1
413.375;2
413.850;3
414.330;4
414.810;1
415.290;2
415.770;3
416.235;4
416.700;1
417.190;2
417.680;3
418.165;4
418.650;1
419.115;2
419.580;3
420.050;4
420.520;1
421.010;2
421.500;3
421.965;4
422.430;1
422.925;2
423.420;3
423.920;4
424.420;1
424.880;2
425.340;3
425.805;4
426.270;1
426.745;2
427.220;3
427.695;4
428.170;1
428.640;2
429.110;3
429.580;4
430.050;1
430.510;2
430.970;3
431.435;4
431.900;1
432.370;2
432.840;3
433.320;4
433.800;1
434.275;2
434.750;3
435.230;4
435.710;1
436.185;2
436.660;3
437.110;4
437.560;1
438.030;2
438.500;3
438.975;4
439.450;1
439.930;2
440.410;3
440.890;4
441.370;1
441.845;2
442.320;3
442.795;4
443.270;1
443.740;2
444.210;3
444.680;4
445.150;1
445.625;2
446.100;3
446.575;4
447.050;1
447.525;2
448.000;3
448.470;4
448.940;1
449.410;2
449.880;3
450.350;4
450.820;1
451.305;2
451.790;3
452.270;4
452.750;1
