t;beat
0.080;1
0.370;2
0.660;3
0.950;4
1.240;1
1.525;2
1.810;3
2.140;4
2.470;1
2.770;2
3.070;3
3.350;4
3.630;1
3.905;2
4.180;3
4.455;4
4.730;1
4.990;2
5.250;3
5.505;4
5.760;1
6.055;2
6.350;3
6.625;4
6.900;1
7.180;2
7.460;3
7.735;4
8.010;1
8.340;2
8.670;3
9.000;4
9.330;1
9.625;2
9.920;3
10.215;4
10.510;1
10.800;2
11.090;3
11.385;4
11.680;1
11.970;2
12.260;3
12.555;4
12.850;1
13.150;2
13.450;3
13.750;4
14.050;1
14.335;2
14.620;3
14.905;4
15.190;1
15.475;2
15.760;3
16.045;4
16.330;1
16.620;2
16.910;3
17.205;4
17.500;1
17.785;2
18.070;3
18.360;4
18.650;1
18.945;2
19.240;3
19.535;4
19.830;1
20.115;2
20.400;3
20.690;4
20.980;1
21.270;2
21.560;3
21.850;4
22.140;1
22.430;2
22.720;3
23.015;4
23.310;1
23.595;2
23.880;3
24.170;4
24.460;1
24.735;2
25.010;3
25.290;4
25.570;1
25.875;2
26.180;3
26.485;4
26.790;1
27.080;2
27.370;3
27.660;4
27.950;1
28.240;2
28.530;3
28.820;4
29.110;1
29.395;2
29.680;3
29.970;4
30.260;1
30.555;2
30.850;3
31.145;4
31.440;1
31.735;2
32.030;3
32.325;4
32.620;1
32.915;2
33.210;3
33.525;4
33.840;1
34.115;2
34.390;3
34.670;4
34.950;1
35.245;2
35.540;3
35.840;4
36.140;1
36.425;2
36.710;3
37.000;4
37.290;1
37.575;2
37.860;3
38.145;4
38.430;1
38.720;2
39.010;3
39.300;4
39.590;1
39.880;2
40.170;3
40.465;4
40.760;1
41.045;2
41.330;3
41.615;4
41.900;1
42.190;2
42.480;3
42.770;4
43.060;1
43.340;2
43.620;3
43.900;4
44.180;1
44.480;2
44.780;3
45.080;4
45.380;1
45.680;2
45.980;3
46.280;4
46.580;1
46.855;2
47.130;3
47.410;4
47.690;1
47.965;2
48.240;3
48.520;4
48.800;1
49.100;2
49.400;3
