t;beat
0.970;1
1.640;2
2.310;3
2.970;4
3.630;1
4.290;2
4.950;3
5.615;4
6.280;1
6.955;2
7.630;3
8.305;4
8.980;1
9.650;2
10.320;3
10.995;4
11.670;1
12.355;2
13.040;3
13.725;4
14.410;1
15.085;2
15.760;3
16.385;4
17.010;1
17.725;2
18.440;3
19.160;4
19.880;1
20.515;2
21.150;3
21.790;4
22.430;1
23.125;2
23.820;3
24.515;4
25.210;1
25.875;2
26.540;3
27.210;4
27.880;1
28.555;2
29.230;3
29.905;4
30.580;1
31.255;2
31.930;3
32.610;4
33.290;1
33.975;2
34.660;3
35.350;4
36.040;1
36.715;2
37.390;3
38.065;4
38.740;1
39.420;2
40.100;3
40.780;4
41.460;1
42.145;2
42.830;3
43.515;4
44.200;1
44.880;2
45.560;3
46.245;4
46.930;1
47.600;2
48.270;3
48.940;4
49.610;1
50.285;2
50.960;3
51.635;4
52.310;1
52.975;2
53.640;3
54.310;4
54.980;1
55.650;2
56.320;3
56.990;4
57.660;1
58.325;2
58.990;3
59.655;4
60.320;1
60.985;2
61.650;3
62.315;4
62.980;1
63.640;2
64.300;3
64.965;4
65.630;1
66.280;2
66.930;3
67.595;4
68.260;1
68.930;2
69.600;3
70.295;4
70.990;1
71.670;2
72.350;3
73.030;4
73.710;1
74.400;2
75.090;3
75.780;4
76.470;1
77.125;2
77.780;3
78.435;4
79.090;1
79.745;2
80.400;3
81.055;4
81.710;1
82.415;2
83.120;3
83.820;4
84.520;1
85.160;2
85.800;3
86.445;4
87.090;1
87.750;2
88.410;3
89.070;4
89.730;1
90.390;2
91.050;3
91.715;4
92.380;1
93.020;2
93.660;3
94.305;4
94.950;1
95.605;2
96.260;3
96.915;4
97.570;1
98.195;2
98.820;3
99.450;4
100.080;1
100.740;2
101.400;3
102.065;4
102.730;1
103.370;2
104.010;3
104.655;4
105.300;1
105.945;2
106.590;3
107.240;4
107.890;1
108.530;2
109.170;3
109.815;4
110.460;1
111.100;2
111.740;3
112.380;4
113.020;1
113.675;2
114.330;3
114.975;4
115.620;1
116.260;2
116.900;3
117.560;4
118.220;1
118.885;2
119.550;3
120.215;4
120.880;1
121.540;2
122.200;3
122.860;4
123.520;1
124.165;2
124.810;3
125.455;4
126.100;1
126.745;2
127.390;3
128.040;4
128.690;1
129.350;2
130.010;3
130.670;4
131.330;1
131.970;2
132.610;3
133.255;4
133.900;1
134.565;2
135.230;3
135.900;4
136.570;1
137.250;2
137.930;3
138.595;4
139.260;1
139.900;2
140.540;3
141.185;4
141.830;1
142.480;2
143.130;3
143.780;4
144.430;1
145.080;2
145.730;3
146.380;4
147.030;1
147.705;2
148.380;3
149.055;4
149.730;1
150.395;2
151.060;3
151.725;4
152.390;1
153.065;2
153.740;3
154.420;4
155.100;1
155.750;2
156.400;3
157.055;4
157.710;1
158.385;2
159.060;3
159.730;4
160.400;1
161.050;2
161.700;3
162.380;4
163.060;1
163.710;2
164.360;3
165.010;4
165.660;1
166.305;2
166.950;3
167.590;4
168.230;1
168.930;2
169.630;3
170.330;4
171.030;1
171.690;2
172.350;3
173.015;4
173.680;1
174.340;2
175.000;3
175.660;4
176.320;1
176.975;2
177.630;3
178.290;4
178.950;1
179.610;2
180.270;3
180.930;4
181.590;1
182.245;2
182.900;3
183.560;4
184.220;1
184.860;2
185.500;3
186.140;4
186.780;1
187.435;2
188.090;3
188.720;4
189.350;1
190.020;2
190.690;3
191.360;4
192.030;1
192.690;2
193.350;3
194.015;4
194.680;1
195.345;2
196.010;3
196.680;4
197.350;1
197.995;2
198.640;3
199.295;4
199.950;1
200.620;2
201.290;3
201.965;4
202.640;1
203.300;2
203.960;3
204.630;4
205.300;1
205.945;2
206.590;3
207.295;4
208.000;1
208.655;2
209.310;3
209.965;4
210.620;1
211.285;2
211.950;3
212.620;4
213.290;1
213.945;2
214.600;3
215.255;4
215.910;1
216.565;2
217.220;3
217.880;4
218.540;1
219.215;2
219.890;3
220.570;4
221.250;1
221.910;2
222.570;3
223.230;4
223.890;1
224.565;2
225.240;3
225.915;4
226.590;1
227.235;2
227.880;3
228.540;4
229.200;1
229.860;2
230.520;3
231.185;4
231.850;1
232.500;2
233.150;3
233.805;4
234.460;1
235.140;2
235.820;3
236.500;4
237.180;1
237.850;2
238.520;3
239.190;4
239.860;1
240.525;2
241.190;3
241.860;4
242.530;1
243.185;2
243.840;3
244.495;4
245.150;1
245.810;2
246.470;3
247.130;4
247.790;1
248.450;2
249.110;3
249.770;4
250.430;1
251.085;2
251.740;3
252.395;4
253.050;1
253.705;2
254.360;3
255.015;4
255.670;1
256.325;2
256.980;3
257.635;4
258.290;1
258.945;2
259.600;3
260.255;4
260.910;1
261.460;2
262.010;3
262.560;4
263.110;1
263.660;2
264.210;3
264.760;4
265.310;1
265.860;2
266.410;3
