t;beat
0.070;2
0.460;3
0.880;1
1.300;2
1.680;3
2.070;4
2.460;5
2.860;6
3.260;1
3.660;2
4.060;3
4.470;4
4.880;5
5.290;6
5.670;1
6.060;2
6.450;3
6.860;4
7.270;5
7.680;6
8.080;1
8.480;2
8.880;3
9.260;4
9.680;5
10.070;6
10.480;1
10.890;2
11.300;3
11.680;4
12.070;5
12.470;6
12.870;1
13.270;2
13.670;3
14.060;4
14.460;5
14.850;6
15.260;1
15.660;2
16.060;3
16.460;4
16.870;5
17.270;6
17.670;1
18.060;2
18.460;3
18.860;4
19.270;5
19.670;6
20.070;1
20.460;2
20.860;3
21.260;4
21.670;5
22.070;6
22.480;1
22.860;2
23.250;3
23.650;4
24.050;5
24.450;6
24.860;1
25.260;2
25.660;3
26.050;4
26.440;5
26.830;6
27.240;1
27.640;2
28.050;3
28.450;4
28.860;5
29.280;6
29.650;1
30.130;2
30.490;3
30.850;4
31.260;5
31.670;6
32.070;1
32.470;2
32.870;3
33.260;4
33.650;5
34.040;6
34.460;1
34.860;2
35.270;3
35.660;4
36.070;5
36.460;6
36.860;1
37.260;2
37.660;3
38.050;4
38.470;5
38.860;6
39.260;1
39.690;2
40.080;3
40.450;4
40.850;5
41.260;6
41.660;1
42.060;2
42.460;3
42.860;4
43.260;5
43.660;6
44.060;1
44.460;2
44.860;3
45.250;4
45.660;5
46.060;6
46.480;1
46.880;2
47.280;3
47.670;4
48.070;5
48.460;6
48.860;1
49.260;2
49.660;3
50.070;4
50.480;5
50.890;6
51.280;1
51.670;2
52.060;3
52.450;4
52.850;5
53.250;6
53.660;1
54.060;2
54.460;3
54.860;4
55.260;5
55.660;6
56.070;1
56.460;2
56.860;3
57.260;4
57.670;5
58.060;6
58.440;1
58.830;2
59.220;3
59.630;4
60.050;5
60.450;6
60.860;1
61.250;2
61.640;3
62.050;4
62.460;5
62.860;6
63.250;1
63.650;2
64.050;3
64.460;4
64.860;5
65.250;6
65.650;1
66.050;2
66.450;3
66.850;4
67.240;5
67.640;6
68.040;1
68.440;2
68.840;3
69.250;4
69.660;5
70.070;6
70.450;1
70.860;2
71.260;3
71.660;4
72.060;5
